연번,동물이름,횟수
1480,민돌이,2
1481,민별,2
1482,민재,2
1483,민지,2
1484,밀레,2
1485,밀리,2
1486,밍이,2
1487,바닐라,2
1488,바람이,2
1489,박보리,2
1490,박스,2
1491,반,2
1492,반달이,2
1493,반이,2
1494,발망,2
1495,밤돌,2
1496,밤돌이,2
1497,밤콩,2
1498,방방,2
1499,방실이,2
1500,배개,2
1501,배컴,2
1502,백도,2
1503,백만이,2
1504,백억,2
1505,백호보리,2
1506,버드,2
1507,버스터,2
1508,벅,2
1509,범이,2
1510,베비,2
1511,베이,2
1512,베이글,2
1513,베일리,2
1514,베키,2
1515,벼락,2
1516,별비,2
1517,별콩,2
1518,보들이,2
1519,보배,2
1520,보석,2
1521,보아,2
1522,복길,2
1523,복둥,2
1524,복음,2
1525,복코,2
1526,볼리,2
1527,봉,2
1528,봉식이,2
1529,봉투,2
1530,부비,2
1531,부찌,2
1532,북이,2
1533,브로콜리,2
1534,블랑이,2
1535,비기,2
1536,비똥,2
1537,비스킷,2
1538,비아,2
1539,비키,2
1540,비트,2
1541,빌,2
1542,빙봉,2
1543,빙수,2
1544,빛나,2
1545,빠방이,2
1546,빠오즈,2
1547,빵구,2
1548,빵꾸,2
1549,뽀돌,2
1550,뽀띠,2
1551,뽀비,2
1552,뽀솜,2
1553,뽀숑,2
1554,뽀순,2
1555,뽀찌,2
1556,뽁실이,2
1557,뽕,2
1558,뽕구,2
1559,뿌잉,2
1560,삐꾸,2
1561,사과,2
1562,사이다,2
1563,산돌,2
1564,산들바람,2
1565,산타,2
1566,삼,2
1567,삼두,2
1568,삼삼,2
1569,삼색이,2
1570,삼월이,2
1571,새벽,2
1572,새벽이,2
1573,새복,2
1574,새봄,2
1575,새봄이,2
1576,새싹,2
1577,새콤이,2
1578,샘이,2
1579,생강이,2
1580,샤인,2
1581,석봉,2
1582,선달,2
1583,설탕이,2
1584,성불,2
1585,세동,2
1586,세로,2
1587,세미,2
1588,세브리캉,2
1589,소바,2
1590,소복,2
1591,소심이,2
1592,소연,2
1593,소원,2
1594,소주,2
1595,솜솜,2
1596,송송,2
1597,쇠돌,2
1598,쇼콜라,2
1599,숑숑이,2
1600,수피,2
1601,수호,2
1602,순,2
1603,순금,2
1604,순남이,2
1605,순덕,2
1606,순두부,2
1607,순무,2
1608,순순,2
1609,순순이,2
1610,순영,2
1611,숭이,2
1612,슈니,2
1613,슈리,2
1614,슈크림,2
1615,스노우볼,2
1616,스누피,2
1617,승리,2
1618,시돌,2
1619,시몬,2
1620,시코,2
1621,시크,2
1622,신꾸꾸,2
1623,신나라,2
1624,신이,2
1625,실버,2
1626,심마동,2
1627,심청,2
1628,쌀,2
1629,썸퍼,2
1630,쎈,2
1631,쏭,2
1632,씩씩이,2
1633,씽씽,2
1634,아델,2
1635,아둥,2
1636,아들,2
1637,아람,2
1638,아야,2
1639,아인,2
1640,아주,2
1641,아찌,2
1642,아쳐,2
1643,아츄,2
1644,아키 ,2
1645,안주,2
1646,알린,2
1647,알맹이,2
1648,애옹이,2
1649,액션,2
1650,앤,2
1651,야무,2
1652,야코,2
1653,야콘,2
1654,얌꿍이,2
1655,양배추,2
1656,양순,2
1657,양순이,2
1658,양양이,2
1659,양자,2
1660,양평,2
1661,어쭈,2
1662,얼룩,2
1663,업둥이,2
1664,에덴,2
1665,에밀리,2
1666,엔젤,2
1667,엘,2
1668,엘빈,2
1669,엠마,2
1670,여시,2
1671,여울,2
1672,연,2
1673,연남이,2
1674,연돌,2
1675,연어,2
1676,영구,2
1677,예쁜이,2
1678,오거리,2
1679,오공이,2
1680,오뎅,2
1681,오동,2
1682,오레,2
1683,오름,2
1684,오바마,2
1685,오스카,2
1686,오잉,2
1687,오치,2
1688,오향단,2
1689,옥희,2
1690,온달,2
1691,올리버,2
1692,올백이,2
